Datum;Preis
11/2/2021;48.90
12/2/2021;48.60
15/2/2021;49.73
16/2/2021;50.10
17/2/2021;50.47
18/2/2021;51.00
19/2/2021;50.10
22/2/2021;50.10
23/2/2021;51.18
24/2/2021;51.00
25/2/2021;51.96
26/2/2021;51.28
1/3/2021;51.30
2/3/2021;50.30
3/3/2021;50.20
4/3/2021;50.00
5/3/2021;51.93
8/3/2021;52.96
9/3/2021;52.40
10/3/2021;52.00
11/3/2021;52.06
12/3/2021;52.50
15/3/2021;52.60
16/3/2021;51.90
17/3/2021;51.80
18/3/2021;50.96
19/3/2021;50.40
22/3/2021;50.50
23/3/2021;49.60
24/3/2021;49.70
25/3/2021;49.80
26/3/2021;49.80
29/3/2021;50.10
30/3/2021;50.20
31/3/2021;50.20
1/4/2021;49.90
6/4/2021;49.70
7/4/2021;49.36
8/4/2021;49.30
9/4/2021;48.90
12/4/2021;49.30
13/4/2021;49.40
14/4/2021;49.90
15/4/2021;50.60
16/4/2021;50.90
19/4/2021;50.50
20/4/2021;50.60
21/4/2021;50.00
22/4/2021;49.60
23/4/2021;49.80
26/4/2021;49.60
27/4/2021;49.80
28/4/2021;49.90
29/4/2021;50.46
30/4/2021;50.65
3/5/2021;50.60
4/5/2021;51.43
5/5/2021;53.10
6/5/2021;52.60
7/5/2021;52.10
10/5/2021;52.80
11/5/2021;52.20
12/5/2021;52.80
14/5/2021;51.90
17/5/2021;52.70
18/5/2021;52.90
19/5/2021;52.05
20/5/2021;51.70
21/5/2021;51.00
25/5/2021;52.00
26/5/2021;51.80
27/5/2021;51.90
28/5/2021;52.70
31/5/2021;52.40
1/6/2021;52.68
2/6/2021;53.30
3/6/2021;0.00
4/6/2021;53.60
7/6/2021;53.70
8/6/2021;53.40
9/6/2021;53.90
10/6/2021;53.75
11/6/2021;53.90
14/6/2021;54.16
15/6/2021;53.90
16/6/2021;54.50
17/6/2021;54.80
18/6/2021;54.50
21/6/2021;54.83
22/6/2021;55.23
23/6/2021;55.50
24/6/2021;55.60
25/6/2021;55.69
28/6/2021;55.80
29/6/2021;55.46
30/6/2021;55.60
1/7/2021;56.20
2/7/2021;56.23
5/7/2021;56.46
6/7/2021;56.83
7/7/2021;56.20
8/7/2021;55.33
9/7/2021;56.38
12/7/2021;56.40
13/7/2021;56.60
14/7/2021;57.30
15/7/2021;56.40
16/7/2021;56.40
19/7/2021;56.00
20/7/2021;54.55
21/7/2021;55.03
22/7/2021;55.90
23/7/2021;56.60
26/7/2021;56.10
27/7/2021;56.20
28/7/2021;55.90
29/7/2021;55.93
30/7/2021;56.12
2/8/2021;56.30
3/8/2021;55.70
4/8/2021;55.30
5/8/2021;54.83
6/8/2021;55.76
9/8/2021;54.68
10/8/2021;55.10
11/8/2021;55.46
12/8/2021;55.83
13/8/2021;55.66
16/8/2021;54.70
17/8/2021;54.50
18/8/2021;54.73
19/8/2021;53.60
20/8/2021;53.40
23/8/2021;53.80
24/8/2021;55.09
25/8/2021;55.73
26/8/2021;55.80
27/8/2021;56.54
30/8/2021;56.93
31/8/2021;56.70
1/9/2021;57.10
2/9/2021;56.90
3/9/2021;57.80
6/9/2021;57.00
7/9/2021;56.90
8/9/2021;56.80
9/9/2021;57.00
10/9/2021;57.00
13/9/2021;57.51
14/9/2021;58.00
15/9/2021;58.23
16/9/2021;58.99
17/9/2021;59.80
20/9/2021;59.30
21/9/2021;59.50
22/9/2021;59.70
23/9/2021;60.60
24/9/2021;61.40
27/9/2021;62.10
28/9/2021;63.30
29/9/2021;62.98
30/9/2021;63.40
1/10/2021;63.40
4/10/2021;64.40
5/10/2021;66.11
6/10/2021;67.45
7/10/2021;65.70
8/10/2021;67.80
11/10/2021;68.29
12/10/2021;68.90
13/10/2021;68.60
14/10/2021;69.50
15/10/2021;70.20
18/10/2021;70.30
19/10/2021;69.96
20/10/2021;69.70
21/10/2021;70.39
22/10/2021;70.10
25/10/2021;70.60
26/10/2021;70.60
27/10/2021;70.30
28/10/2021;69.80
29/10/2021;70.19
1/11/2021;
2/11/2021;70.31
3/11/2021;69.93
4/11/2021;70.00
5/11/2021;69.96
8/11/2021;70.86
9/11/2021;70.83
10/11/2021;71.50
11/11/2021;69.96
12/11/2021;69.43
15/11/2021;68.16
16/11/2021;69.40
17/11/2021;68.90
18/11/2021;67.46
19/11/2021;66.64
22/11/2021;66.06
23/11/2021;66.00
24/11/2021;67.40
25/11/2021;66.70
26/11/2021;64.13
29/11/2021;63.10
30/11/2021;62.13
1/12/2021;62.50
2/12/2021;60.80
3/12/2021;63.00
6/12/2021;62.95
7/12/2021;64.40
8/12/2021;63.70
9/12/2021;64.10
10/12/2021;64.00
13/12/2021;64.20
14/12/2021;63.78
15/12/2021;63.30
16/12/2021;63.70
17/12/2021;63.40
20/12/2021;61.50
21/12/2021;62.10
